id,prefectureCode,municipalityCode,name,nameKana,municipalityType,entityType,parentMunicipality,lifecycleStatus,officialUrl,sourceUrl
jp-36201,36,362018,徳島市,とくしまし,city,municipality,,current,https://www.city.tokushima.tokushima.jp/,https://www.city.tokushima.tokushima.jp/
jp-36202,36,362026,鳴門市,なるとし,city,municipality,,current,https://www.city.naruto.tokushima.jp/,https://www.city.naruto.tokushima.jp/
jp-36203,36,362034,小松島市,こまつしまし,city,municipality,,current,https://www.city.komatsushima.lg.jp/,https://www.city.komatsushima.lg.jp/
jp-36204,36,362042,阿南市,あなんし,city,municipality,,current,https://www.city.anan.tokushima.jp/,https://www.city.anan.tokushima.jp/
jp-36205,36,362050,吉野川市,よしのがわし,city,municipality,,current,https://www.city.yoshinogawa.lg.jp/,https://www.city.yoshinogawa.lg.jp/
jp-36206,36,362069,阿波市,あわし,city,municipality,,current,https://www.city.awa.lg.jp/,https://www.city.awa.lg.jp/
jp-36207,36,362077,美馬市,みまし,city,municipality,,current,https://www.city.mima.lg.jp/,https://www.city.mima.lg.jp/
jp-36208,36,362085,三好市,みよしし,city,municipality,,current,https://www.miyoshi.i-tokushima.jp/,https://www.miyoshi.i-tokushima.jp/
jp-36301,36,363014,勝浦町,かつうらちょう,town,municipality,,current,https://www.town.katsuura.lg.jp/,https://www.town.katsuura.lg.jp/
jp-36302,36,363022,上勝町,かみかつちょう,town,municipality,,current,https://www.kamikatsu.jp/,https://www.kamikatsu.jp/
jp-36321,36,363219,佐那河内村,さなごうちそん,village,municipality,,current,https://www.vill.sanagochi.lg.jp/,https://www.vill.sanagochi.lg.jp/
jp-36341,36,363413,石井町,いしいちょう,town,municipality,,current,https://www.town.ishii.lg.jp/,https://www.town.ishii.lg.jp/
jp-36342,36,363421,神山町,かみやまちょう,town,municipality,,current,https://www.town.kamiyama.lg.jp/,https://www.town.kamiyama.lg.jp/
jp-36368,36,363685,那賀町,なかちょう,town,municipality,,current,https://www.town.tokushima-naka.lg.jp/,https://www.town.tokushima-naka.lg.jp/
jp-36383,36,363839,牟岐町,むぎちょう,town,municipality,,current,https://www.town.tokushima-mugi.lg.jp/,https://www.town.tokushima-mugi.lg.jp/
jp-36387,36,363871,美波町,みなみちょう,town,municipality,,current,https://www.town.minami.lg.jp/,https://www.town.minami.lg.jp/
jp-36388,36,363880,海陽町,かいようちょう,town,municipality,,current,https://www.town.kaiyo.lg.jp/,https://www.town.kaiyo.lg.jp/
jp-36401,36,364010,松茂町,まつしげちょう,town,municipality,,current,https://www.town.matsushige.tokushima.jp/,https://www.town.matsushige.tokushima.jp/
jp-36402,36,364029,北島町,きたじまちょう,town,municipality,,current,https://www.town.kitajima.lg.jp/,https://www.town.kitajima.lg.jp/
jp-36403,36,364037,藍住町,あいずみちょう,town,municipality,,current,https://www.town.aizumi.lg.jp/,https://www.town.aizumi.lg.jp/
jp-36404,36,364045,板野町,いたのちょう,town,municipality,,current,https://www.town.itano.tokushima.jp/,https://www.town.itano.tokushima.jp/
jp-36405,36,364053,上板町,かみいたちょう,town,municipality,,current,https://www.townkamiita.jp/,https://www.townkamiita.jp/
jp-36468,36,364681,つるぎ町,つるぎちょう,town,municipality,,current,https://www.town.tokushima-tsurugi.lg.jp/,https://www.town.tokushima-tsurugi.lg.jp/
jp-36489,36,364894,東みよし町,ひがしみよしちょう,town,municipality,,current,https://www.town.higashimiyoshi.lg.jp/,https://www.town.higashimiyoshi.lg.jp/
jp-37201,37,372013,高松市,たかまつし,city,municipality,,current,https://www.city.takamatsu.kagawa.jp/,https://www.city.takamatsu.kagawa.jp/
jp-37202,37,372021,丸亀市,まるがめし,city,municipality,,current,https://www.city.marugame.lg.jp/,https://www.city.marugame.lg.jp/
jp-37203,37,372030,坂出市,さかいでし,city,municipality,,current,https://www.city.sakaide.lg.jp/,https://www.city.sakaide.lg.jp/
jp-37204,37,372048,善通寺市,ぜんつうじし,city,municipality,,current,https://www.city.zentsuji.kagawa.jp/,https://www.city.zentsuji.kagawa.jp/
jp-37205,37,372056,観音寺市,かんおんじし,city,municipality,,current,https://www.city.kanonji.kagawa.jp/,https://www.city.kanonji.kagawa.jp/
jp-37206,37,372064,さぬき市,さぬきし,city,municipality,,current,https://www.city.sanuki.kagawa.jp/,https://www.city.sanuki.kagawa.jp/
jp-37207,37,372072,東かがわ市,ひがしかがわし,city,municipality,,current,https://www.higashikagawa.jp/,https://www.higashikagawa.jp/
jp-37208,37,372080,三豊市,みとよし,city,municipality,,current,https://www.city.mitoyo.lg.jp/,https://www.city.mitoyo.lg.jp/
jp-37322,37,373222,土庄町,とのしょうちょう,town,municipality,,current,https://www.town.tonosho.kagawa.jp/,https://www.town.tonosho.kagawa.jp/
jp-37324,37,373249,小豆島町,しょうどしまちょう,town,municipality,,current,https://www.town.shodoshima.lg.jp/,https://www.town.shodoshima.lg.jp/
jp-37341,37,373419,三木町,みきちょう,town,municipality,,current,https://www.town.miki.lg.jp/,https://www.town.miki.lg.jp/
jp-37364,37,373648,直島町,なおしまちょう,town,municipality,,current,https://www.town.naoshima.lg.jp/,https://www.town.naoshima.lg.jp/
jp-37386,37,373869,宇多津町,うたづちょう,town,municipality,,current,https://www.town.utazu.lg.jp/,https://www.town.utazu.lg.jp/
jp-37387,37,373877,綾川町,あやがわちょう,town,municipality,,current,https://www.town.ayagawa.lg.jp/,https://www.town.ayagawa.lg.jp/
jp-37403,37,374032,琴平町,ことひらちょう,town,municipality,,current,https://www.town.kotohira.kagawa.jp/,https://www.town.kotohira.kagawa.jp/
jp-37404,37,374040,多度津町,たどつちょう,town,municipality,,current,https://www.town.tadotsu.kagawa.jp/,https://www.town.tadotsu.kagawa.jp/
jp-37406,37,374067,まんのう町,まんのうちょう,town,municipality,,current,https://www.town.manno.lg.jp/,https://www.town.manno.lg.jp/
jp-38201,38,382019,松山市,まつやまし,city,municipality,,current,https://www.city.matsuyama.ehime.jp/,https://www.city.matsuyama.ehime.jp/
jp-38202,38,382027,今治市,いまばりし,city,municipality,,current,https://www.city.imabari.ehime.jp/,https://www.city.imabari.ehime.jp/
jp-38203,38,382035,宇和島市,うわじまし,city,municipality,,current,https://www.city.uwajima.ehime.jp/,https://www.city.uwajima.ehime.jp/
jp-38204,38,382043,八幡浜市,やわたはまし,city,municipality,,current,https://www.city.yawatahama.ehime.jp/,https://www.city.yawatahama.ehime.jp/
jp-38205,38,382051,新居浜市,にいはまし,city,municipality,,current,https://www.city.niihama.lg.jp/,https://www.city.niihama.lg.jp/
jp-38206,38,382060,西条市,さいじょうし,city,municipality,,current,https://www.city.saijo.ehime.jp/,https://www.city.saijo.ehime.jp/
jp-38207,38,382078,大洲市,おおずし,city,municipality,,current,https://www.city.ozu.ehime.jp/,https://www.city.ozu.ehime.jp/
jp-38210,38,382108,伊予市,いよし,city,municipality,,current,https://www.city.iyo.lg.jp/,https://www.city.iyo.lg.jp/
jp-38213,38,382132,四国中央市,しこくちゅうおうし,city,municipality,,current,https://www.city.shikokuchuo.ehime.jp/,https://www.city.shikokuchuo.ehime.jp/
jp-38214,38,382140,西予市,せいよし,city,municipality,,current,https://www.city.seiyo.ehime.jp/,https://www.city.seiyo.ehime.jp/
jp-38215,38,382159,東温市,とうおんし,city,municipality,,current,https://www.city.toon.ehime.jp/,https://www.city.toon.ehime.jp/
jp-38356,38,383562,上島町,かみじまちょう,town,municipality,,current,https://www.town.kamijima.lg.jp/,https://www.town.kamijima.lg.jp/
jp-38386,38,383864,久万高原町,くまこうげんちょう,town,municipality,,current,https://www.kumakogen.jp/,https://www.kumakogen.jp/
jp-38401,38,384011,松前町,まさきちょう,town,municipality,,current,https://www.town.masaki.ehime.jp/,https://www.town.masaki.ehime.jp/
jp-38402,38,384020,砥部町,とべちょう,town,municipality,,current,https://www.town.tobe.ehime.jp/,https://www.town.tobe.ehime.jp/
jp-38422,38,384224,内子町,うちこちょう,town,municipality,,current,https://www.town.uchiko.ehime.jp/,https://www.town.uchiko.ehime.jp/
jp-38442,38,384429,伊方町,いかたちょう,town,municipality,,current,https://www.town.ikata.ehime.jp/,https://www.town.ikata.ehime.jp/
jp-38484,38,384844,松野町,まつのちょう,town,municipality,,current,https://www.town.matsuno.ehime.jp/,https://www.town.matsuno.ehime.jp/
jp-38488,38,384887,鬼北町,きほくちょう,town,municipality,,current,https://www.town.kihoku.ehime.jp/,https://www.town.kihoku.ehime.jp/
jp-38506,38,385069,愛南町,あいなんちょう,town,municipality,,current,https://www.town.ainan.ehime.jp/,https://www.town.ainan.ehime.jp/
jp-39201,39,392014,高知市,こうちし,city,municipality,,current,https://www.city.kochi.kochi.jp/,https://www.city.kochi.kochi.jp/
jp-39202,39,392022,室戸市,むろとし,city,municipality,,current,https://www.city.muroto.kochi.jp/,https://www.city.muroto.kochi.jp/
jp-39203,39,392030,安芸市,あきし,city,municipality,,current,https://www.city.aki.kochi.jp/,https://www.city.aki.kochi.jp/
jp-39204,39,392049,南国市,なんこくし,city,municipality,,current,https://www.city.nankoku.lg.jp/,https://www.city.nankoku.lg.jp/
jp-39205,39,392057,土佐市,とさし,city,municipality,,current,https://www.city.tosa.lg.jp/,https://www.city.tosa.lg.jp/
jp-39206,39,392065,須崎市,すさきし,city,municipality,,current,https://www.city.susaki.lg.jp/,https://www.city.susaki.lg.jp/
jp-39208,39,392081,宿毛市,すくもし,city,municipality,,current,https://www.city.sukumo.kochi.jp/,https://www.city.sukumo.kochi.jp/
jp-39209,39,392090,土佐清水市,とさしみずし,city,municipality,,current,https://www.city.tosashimizu.kochi.jp/,https://www.city.tosashimizu.kochi.jp/
jp-39210,39,392103,四万十市,しまんとし,city,municipality,,current,https://www.city.shimanto.lg.jp/,https://www.city.shimanto.lg.jp/
jp-39211,39,392111,香南市,こうなんし,city,municipality,,current,https://www.city.kochi-konan.lg.jp/,https://www.city.kochi-konan.lg.jp/
jp-39212,39,392120,香美市,かみし,city,municipality,,current,https://www.city.kami.lg.jp/,https://www.city.kami.lg.jp/
jp-39301,39,393010,東洋町,とうようちょう,town,municipality,,current,https://www.town.toyo.kochi.jp/,https://www.town.toyo.kochi.jp/
jp-39302,39,393029,奈半利町,なはりちょう,town,municipality,,current,https://www.town.nahari.kochi.jp/,https://www.town.nahari.kochi.jp/
jp-39303,39,393037,田野町,たのちょう,town,municipality,,current,https://tanocho.jp/,https://tanocho.jp/
jp-39304,39,393045,安田町,やすだちょう,town,municipality,,current,https://www.town.yasuda.kochi.jp/,https://www.town.yasuda.kochi.jp/
jp-39305,39,393053,北川村,きたがわむら,village,municipality,,current,https://www.kitagawamura.jp/,https://www.kitagawamura.jp/
jp-39306,39,393061,馬路村,うまじむら,village,municipality,,current,https://vill.umaji.lg.jp/,https://vill.umaji.lg.jp/
jp-39307,39,393070,芸西村,げいせいむら,village,municipality,,current,https://www.vill.geisei.kochi.jp/,https://www.vill.geisei.kochi.jp/
jp-39341,39,393410,本山町,もとやまちょう,town,municipality,,current,https://www.town.motoyama.kochi.jp/,https://www.town.motoyama.kochi.jp/
jp-39344,39,393444,大豊町,おおとよちょう,town,municipality,,current,https://www.town.otoyo.kochi.jp/,https://www.town.otoyo.kochi.jp/
jp-39363,39,393630,土佐町,とさちょう,town,municipality,,current,https://www.town.tosa.kochi.jp/,https://www.town.tosa.kochi.jp/
jp-39364,39,393649,大川村,おおかわむら,village,municipality,,current,https://www.vill.okawa.kochi.jp/,https://www.vill.okawa.kochi.jp/
jp-39386,39,393860,いの町,いのちょう,town,municipality,,current,https://www.town.ino.kochi.jp/,https://www.town.ino.kochi.jp/
jp-39387,39,393878,仁淀川町,によどがわちょう,town,municipality,,current,https://www.town.niyodogawa.lg.jp/,https://www.town.niyodogawa.lg.jp/
jp-39401,39,394017,中土佐町,なかとさちょう,town,municipality,,current,https://www.town.nakatosa.lg.jp/,https://www.town.nakatosa.lg.jp/
jp-39402,39,394025,佐川町,さかわちょう,town,municipality,,current,https://www.town.sakawa.lg.jp/,https://www.town.sakawa.lg.jp/
jp-39403,39,394033,越知町,おちちょう,town,municipality,,current,https://www.town.ochi.kochi.jp/,https://www.town.ochi.kochi.jp/
jp-39405,39,394050,檮原町,ゆすはらちょう,town,municipality,,current,https://www.town.yusuhara.kochi.jp/,https://www.town.yusuhara.kochi.jp/
jp-39410,39,394106,日高村,ひだかむら,village,municipality,,current,https://www.vill.hidaka.kochi.jp/,https://www.vill.hidaka.kochi.jp/
jp-39411,39,394114,津野町,つのちょう,town,municipality,,current,https://town.kochi-tsuno.lg.jp/,https://town.kochi-tsuno.lg.jp/
jp-39412,39,394122,四万十町,しまんとちょう,town,municipality,,current,https://www.town.shimanto.lg.jp/,https://www.town.shimanto.lg.jp/
jp-39424,39,394246,大月町,おおつきちょう,town,municipality,,current,https://www.town.otsuki.kochi.jp/,https://www.town.otsuki.kochi.jp/
jp-39427,39,394270,三原村,みはらむら,village,municipality,,current,https://www.vill.mihara.kochi.jp/,https://www.vill.mihara.kochi.jp/
jp-39428,39,394289,黒潮町,くろしおちょう,town,municipality,,current,https://www.town.kuroshio.lg.jp/,https://www.town.kuroshio.lg.jp/
jp-40100,40,401005,北九州市,きたきゅうしゅうし,city,municipality,,current,https://www.city.kitakyushu.lg.jp/,https://www.city.kitakyushu.lg.jp/
jp-40101,40,401013,門司区,もじく,administrative_ward,administrative_ward,北九州市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=82
jp-40103,40,401030,若松区,わかまつく,administrative_ward,administrative_ward,北九州市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=82
jp-40105,40,401056,戸畑区,とばたく,administrative_ward,administrative_ward,北九州市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=82
jp-40106,40,401064,小倉北区,こくらきたく,administrative_ward,administrative_ward,北九州市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=82
jp-40107,40,401072,小倉南区,こくらみなみく,administrative_ward,administrative_ward,北九州市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=82
jp-40108,40,401080,八幡東区,やはたひがしく,administrative_ward,administrative_ward,北九州市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=82
jp-40109,40,401099,八幡西区,やはたにしく,administrative_ward,administrative_ward,北九州市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=82
jp-40130,40,401307,福岡市,ふくおかし,city,municipality,,current,https://www.city.fukuoka.lg.jp/,https://www.city.fukuoka.lg.jp/
jp-40131,40,401315,東区,ひがしく,administrative_ward,administrative_ward,福岡市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=82
jp-40132,40,401323,博多区,はかたく,administrative_ward,administrative_ward,福岡市,current,,https://www.e-stat.go.jp/municipalities/cities/areacode?page=82
